PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2017,40,1.27046,1.28036,3841,2491,X,4548,1070,872,12822,2215,1001436
National,X,2017,41,1.30864,1.33231,4116,2685,X,4457,1075,950,13283,2242,996991
National,X,2017,42,1.34573,1.41014,4410,2820,X,5002,1142,976,14350,2262,1017628
National,X,2017,43,1.52233,1.57314,5004,2923,X,5525,1324,1051,15827,2259,1006077
National,X,2017,44,1.75086,1.70319,5217,3299,X,6117,1365,1062,17060,2215,1001647
National,X,2017,45,1.88909,1.85905,6102,3583,X,6619,1513,1114,18931,2274,1018316
National,X,2017,46,2.05995,2.06276,6848,4212,X,7525,1787,1360,21732,2283,1053539
National,X,2017,47,2.29397,2.32639,6875,3808,X,5837,1687,1418,19625,2256,843581
National,X,2017,48,2.29024,2.24463,6945,5210,X,7393,2205,1823,23576,2257,1050330
National,X,2017,49,2.59714,2.49152,7158,4988,X,8386,2318,1834,24684,2248,990721
National,X,2017,50,3.3751,3.20522,8199,6609,X,11143,2938,2315,31204,2239,973537
National,X,2017,51,4.77964,4.44056,10292,9749,X,13984,4563,3701,42289,2173,952334
National,X,2017,52,5.70669,5.42781,11117,11310,X,11330,5626,4975,44358,2089,817236
National,X,2018,1,5.79769,5.38152,9299,13266,X,11580,6820,5820,46785,2186,869364
National,X,2018,2,5.99051,5.57492,9894,15296,X,17084,7703,6028,56005,2185,1004589
National,X,2018,3,6.56741,6.37995,11612,15829,X,21132,7459,5468,61500,2205,963958
National,X,2018,4,7.18427,7.1214,12752,17956,X,29167,8701,5883,74459,2160,1045567
National,X,2018,5,7.65302,8.08548,13568,17919,X,33822,8247,5569,79125,1939,978606
